others_time,goal,longest_idle_time,create_time,distance,run_time,step_count,walk_time,day_time,deviceuuid,active_time,score,pkg_name,update_time,longest_active_time,datauuid,extra_data,calorie
0,60,14160000,4/22/2018,6252.441,71849,7602,4786623,1.52E+12,fGc8wlXwq5,4858472,133,com.sec.android.app.shealth,00:02.1,420000,436685f0-ffa0-4420-a5cb-c3c3003ebbb8,436685f0-ffa0-4420-a5cb-c3c3003ebbb8.extra_data.json,337.99997
0,60,20280000,4/21/2018,6110.931,23746,7784,4900576,1.52E+12,fGc8wlXwq5,4924322,135,com.sec.android.app.shealth,55:33.5,690505,51743d8d-8b34-4c6a-9b16-69292c985beb,51743d8d-8b34-4c6a-9b16-69292c985beb.extra_data.json,339.87994
0,60,16800000,4/20/2018,5176.7686,20637,6686,4344020,1.52E+12,fGc8wlXwq5,4364657,120,com.sec.android.app.shealth,00:01.4,180000,697b6a4b-2a2e-4b1a-997a-2d58fafc62d8,697b6a4b-2a2e-4b1a-997a-2d58fafc62d8.extra_data.json,290.53992
0,60,20880000,4/19/2018,3453.2493,2400,4494,2963241,1.52E+12,fGc8wlXwq5,2965641,81,com.sec.android.app.shealth,36:27.2,180000,1aa0b0ff-c39e-4e60-87e2-e5b594e0590f,1aa0b0ff-c39e-4e60-87e2-e5b594e0590f.extra_data.json,189.31999
0,60,21900000,4/18/2018,7381.2534,20052,9601,5929972,1.52E+12,fGc8wlXwq5,5950024,163,com.sec.android.app.shealth,34:54.9,1221532,e13c1b41-4bdb-495f-b92b-5b6709550976,e13c1b41-4bdb-495f-b92b-5b6709550976.extra_data.json,401.68478
0,60,9479999,4/17/2018,7872.4395,93508,9672,5841148,1.52E+12,fGc8wlXwq5,5934656,163,com.sec.android.app.shealth,51:04.6,1352288,4d61e162-6edb-42cf-b211-ba92c8144230,4d61e162-6edb-42cf-b211-ba92c8144230.extra_data.json,449.00732
0,60,21300000,4/16/2018,3501.6406,18800,4463,2836998,1.52E+12,fGc8wlXwq5,2855798,78,com.sec.android.app.shealth,32:04.0,240000,3365ab9d-2d60-4f7c-9d82-e4329346b81f,3365ab9d-2d60-4f7c-9d82-e4329346b81f.extra_data.json,192.57007
0,60,25860000,4/15/2018,4407.3394,62541,5177,3213966,1.52E+12,fGc8wlXwq5,3276507,90,com.sec.android.app.shealth,00:01.5,300000,5b8a6994-7175-4470-9545-52f4b7007b82,5b8a6994-7175-4470-9545-52f4b7007b82.extra_data.json,241.07997
0,60,26400000,4/14/2018,3985.1506,86097,4976,2871380,1.52E+12,fGc8wlXwq5,2957477,80,com.sec.android.app.shealth,00:03.3,480000,cc008b27-5060-4512-a2e5-9a77fd6e4583,cc008b27-5060-4512-a2e5-9a77fd6e4583.extra_data.json,218.08998
0,60,19740000,4/13/2018,6038.7603,102646,7508,4681713,1.52E+12,fGc8wlXwq5,4784359,131,com.sec.android.app.shealth,19:30.0,240000,fb54c50f-d939-4ef1-a5fe-14d22b063dde,fb54c50f-d939-4ef1-a5fe-14d22b063dde.extra_data.json,322.41006
0,60,21360000,4/12/2018,5570,17085,7225,4466328,1.52E+12,fGc8wlXwq5,4483413,123,com.sec.android.app.shealth,08:13.2,746609,9efd5995-eae1-447d-9af0-ce2d500d36e8,9efd5995-eae1-447d-9af0-ce2d500d36e8.extra_data.json,303.5486
0,60,25200000,4/11/2018,5778.2188,24472,7415,4620509,1.52E+12,fGc8wlXwq5,4644981,128,com.sec.android.app.shealth,51:46.0,903457,0133789c-4b19-4e88-87a6-4c3bd0cb01ba,0133789c-4b19-4e88-87a6-4c3bd0cb01ba.extra_data.json,309.02206
